Date,Cash,Position_Value,Total_Equity,Signal,In_Position
2020-10-16,7500.0,2487.289763503907,9987.289763503908,BUY,True
2020-10-19,7500.0,2449.4746111098643,9949.474611109865,BUY,True
2020-10-20,7500.0,2459.286235332477,9959.286235332478,BUY,True
2020-10-21,7500.0,2454.630760763978,9954.630760763977,BUY,True
2020-10-22,7500.0,2468.095327431346,9968.095327431347,BUY,True
2020-10-23,7481.799181024301,2492.104019639162,9973.903200663462,BUY,True
2020-10-26,7481.799181024301,2446.050234690136,9927.849415714438,BUY,True
2020-10-27,7481.799181024301,2437.617543288538,9919.41672431284,BUY,True
2020-10-28,7424.960061495352,2433.7147192777543,9858.674780773106,BUY,True
2020-10-29,7424.960061495352,2458.4491993285246,9883.409260823877,BUY,True
2020-10-30,7424.960061495352,2432.820112344069,9857.780173839421,BUY,True
2020-11-02,7424.960061495352,2460.0884103840344,9885.048471879387,BUY,True
2020-11-03,7424.960061495352,2503.5238147613054,9928.483876256658,BUY,True
2020-11-04,7487.751272230042,2514.786837158766,10002.538109388808,BUY,True
2020-11-05,7487.751272230042,2563.832030322758,10051.583302552799,BUY,True
2020-11-06,7487.751272230042,2563.246361262408,10050.99763349245,WAIT,True
2020-11-09,10132.365278295969,0.0,10132.365278295969,WAIT,False
2020-11-10,10132.365278295969,0.0,10132.365278295969,WAIT,False
2020-11-11,10132.365278295969,0.0,10132.365278295969,WAIT,False
2020-11-12,10132.365278295969,0.0,10132.365278295969,WAIT,False
2020-11-13,10132.365278295969,0.0,10132.365278295969,WAIT,False
2020-11-16,7599.273958721977,2543.4856439183177,10142.759602640293,BUY,True
2020-11-17,7599.273958721977,2529.806260696443,10129.08021941842,WAIT,True
2020-11-18,7599.273958721977,2499.3605507175293,10098.634509439506,WAIT,True
2020-11-19,7599.273958721977,2509.882832596621,10109.156791318597,WAIT,True
2020-11-20,7599.273958721977,2492.6957905377967,10091.969749259773,BUY,True
2020-11-23,7579.6197988254235,2527.0546015681407,10106.674400393564,BUY,True
2020-11-24,7579.6197988254235,2567.7755994233967,10147.39539824882,BUY,True
2020-11-25,7579.6197988254235,2563.8163412945837,10143.436140120008,BUY,True
2020-11-27,7579.6197988254235,2570.956679460532,10150.576478285955,WAIT,True
2020-11-30,7579.6197988254235,2559.5747456872305,10139.194544512655,WAIT,True
2020-12-01,10166.413136409677,0.0,10166.413136409677,WAIT,False
2020-12-02,10166.413136409677,0.0,10166.413136409677,WAIT,False
2020-12-03,10166.413136409677,0.0,10166.413136409677,WAIT,False
2020-12-04,7624.809852307259,2558.341592044654,10183.151444351912,BUY,True
2020-12-07,7624.809852307259,2553.0847060559845,10177.894558363243,WAIT,True
2020-12-08,7624.809852307259,2560.5555344304144,10185.365386737672,WAIT,True
2020-12-09,7624.809852307259,2537.590534037088,10162.400386344347,WAIT,True
2020-12-10,7624.809852307259,2536.7603912594636,10161.570243566723,WAIT,True
2020-12-11,7618.376781364248,2548.437362367388,10166.814143731635,BUY,True
2020-12-14,7618.376781364248,2537.0276226711167,10155.404404035366,BUY,True
2020-12-15,7618.376781364248,2571.326649976721,10189.70343134097,BUY,True
2020-12-16,7618.376781364248,2575.361748613042,10193.73852997729,WAIT,True
2020-12-17,7618.376781364248,2589.763367442743,10208.140148806991,WAIT,True
2020-12-18,10197.025572248955,0.0,10197.025572248955,WAIT,False
2020-12-21,10197.025572248955,0.0,10197.025572248955,WAIT,False
2020-12-22,10197.025572248955,0.0,10197.025572248955,WAIT,False
2020-12-23,10197.025572248955,0.0,10197.025572248955,SELL,False
2020-12-24,10197.025572248955,0.0,10197.025572248955,SELL,False
2020-12-28,10197.025572248955,0.0,10197.025572248955,SELL,False
2020-12-29,10197.025572248955,0.0,10197.025572248955,WAIT,False
2020-12-30,10197.025572248955,0.0,10197.025572248955,WAIT,False
2020-12-31,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-04,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-05,10197.025572248955,0.0,10197.025572248955,SELL,False
2021-01-06,10197.025572248955,0.0,10197.025572248955,SELL,False
2021-01-07,10197.025572248955,0.0,10197.025572248955,SELL,False
2021-01-08,10197.025572248955,0.0,10197.025572248955,SELL,False
2021-01-11,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-12,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-13,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-14,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-15,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-19,10197.025572248955,0.0,10197.025572248955,WAIT,False
2021-01-20,7647.769179186716,2567.0819184658258,10214.851097652543,BUY,True
2021-01-21,7647.769179186716,2569.4218805481487,10217.191059734865,WAIT,True
2021-01-22,7647.769179186716,2560.327961975561,10208.097141162278,WAIT,True
2021-01-25,7647.769179186716,2570.425600547206,10218.194779733923,BUY,True
2021-01-26,7647.769179186716,2566.413577647535,10214.182756834252,BUY,True
2021-01-27,10150.707661506554,0.0,10150.707661506554,WAIT,False
