Stop_Loss,Take_Profit,Max_Holding_Days,Min_BUY_Confidence,Regime_Filter,Use_Model_SELL,Ending_Capital,Net_Profit,Total_Return,Annualised_Return,Sharpe_Ratio,Maximum_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Expectancy,Selection_Score
0.03,0.08,5,0.5,NONE,False,9943.28994308612,-56.71005691388018,-0.005671005691388009,-0.0016612184357334137,-0.043006423430404214,-0.0399739832798538,34,0.47058823529411764,0.9542127578140316,-1.6679428504082006,0.7317135938286861
0.03,0.1,5,0.5,NONE,False,9943.28994308612,-56.71005691388018,-0.005671005691388009,-0.0016612184357334137,-0.043006423430404214,-0.0399739832798538,34,0.47058823529411764,0.9542127578140316,-1.6679428504082006,0.7317135938286861
0.05,0.06,7,0.5,NONE,False,9935.457293214198,-64.54270678580178,-0.006454270678580176,-0.0018911882910188638,-0.04665179651739448,-0.049497447389527105,27,0.5185185185185185,0.9396247554903863,-2.390470621696295,0.6699151657265711
0.03,0.06,5,0.5,NONE,False,9909.109405981464,-90.89059401853592,-0.009089059401853561,-0.0026657161279788344,-0.07904926140945857,-0.03997398327985324,34,0.47058823529411764,0.9264604228384994,-2.673252765251083,0.2900702118484906
0.03,0.06,5,0.5,NONE,True,9860.447684870142,-139.55231512985847,-0.013955231512985833,-0.004100025861550005,-0.13047075241654787,-0.03997398327985324,34,0.4411764705882353,0.8880655106792539,-4.104479856760543,-0.367196658144043
0.05,0.08,10,0.5,NONE,False,9852.178285950416,-147.82171404958353,-0.0147821714049583,-0.004344264977273804,-0.13675850638736234,-0.05595742675904569,20,0.5,0.8550595204481307,-7.39108570247929,-0.45263205958146957
0.05,0.1,10,0.5,NONE,False,9852.178285950416,-147.82171404958353,-0.0147821714049583,-0.004344264977273804,-0.13675850638736234,-0.05595742675904569,20,0.5,0.8550595204481307,-7.39108570247929,-0.45263205958146957
0.03,0.08,5,0.5,NONE,True,9827.231218817464,-172.76878118253626,-0.017276878118253625,-0.0050819639823610485,-0.16348941121847216,-0.03997398327985335,34,0.4411764705882353,0.8611390947671425,-5.0814347406627105,-0.7923250521867824
0.03,0.1,5,0.5,NONE,True,9827.231218817464,-172.76878118253626,-0.017276878118253625,-0.0050819639823610485,-0.16348941121847216,-0.03997398327985335,34,0.4411764705882353,0.8611390947671425,-5.0814347406627105,-0.7923250521867824
0.05,0.06,10,0.5,NONE,False,9794.436662859152,-205.56333714084758,-0.020556333714084718,-0.006053736541451249,-0.20263918461885547,-0.05819476309484739,20,0.5,0.7981163261071933,-10.278166857042333,-1.220990177633837
0.05,0.1,7,0.5,NONE,False,9778.206838729735,-221.79316127026505,-0.022179316127026505,-0.00653551272679076,-0.19442892502474854,-0.06002101787543612,25,0.48,0.791076430867588,-8.871726450810765,-1.3957340497599957
0.05,0.08,7,0.5,NONE,False,9766.9170810346,-233.08291896539959,-0.023308291896539934,-0.006870978737288258,-0.20546077203727722,-0.06002101787543612,25,0.48,0.7804417636001275,-9.323316758616128,-1.5413299880038565
0.03,0.06,10,0.5,NONE,False,9758.456358602407,-241.5436413975931,-0.024154364139759354,-0.007122562179595393,-0.227766671016885,-0.06463601419598697,31,0.3548387096774194,0.8339250296007649,-7.791730367664455,-1.7468420309275083
0.03,0.1,10,0.5,NONE,False,9756.043168279204,-243.9568317207959,-0.02439568317207963,-0.00719434778572936,-0.22213918844614383,-0.07063580430379546,28,0.35714285714285715,0.8131100501439499,-8.712743990028587,-1.784229591117239
0.04,0.06,5,0.55,NONE,False,9742.788028981511,-257.21197101848884,-0.025721197101848836,-0.007588875021304564,-0.32821879208112675,-0.049585224870093314,20,0.4,0.6665880057150384,-12.86059855092417,-2.2115545135021923
0.04,0.08,5,0.55,NONE,False,9742.788028981511,-257.21197101848884,-0.025721197101848836,-0.007588875021304564,-0.32821879208112675,-0.049585224870093314,20,0.4,0.6665880057150384,-12.86059855092417,-2.2115545135021923
0.04,0.1,5,0.55,NONE,False,9742.788028981511,-257.21197101848884,-0.025721197101848836,-0.007588875021304564,-0.32821879208112675,-0.049585224870093314,20,0.4,0.6665880057150384,-12.86059855092417,-2.2115545135021923
0.05,0.06,7,0.5,NONE,True,9708.534932052728,-291.4650679472725,-0.0291465067947273,-0.008610149510777543,-0.2750971739546304,-0.0575260791687211,27,0.48148148148148145,0.7290913987529879,-10.795002516565782,-2.3117982263162427
0.03,0.08,10,0.5,NONE,False,9708.466642118694,-291.5333578813061,-0.02915333578813062,-0.008612188156779887,-0.27007608522315596,-0.07063580430379546,28,0.35714285714285715,0.7766627224518159,-10.411905638618236,-2.3923159739684965
0.03,0.06,5,0.55,NONE,False,9731.5000650222,-268.4999349778009,-0.026849993497780056,-0.00792515063727961,-0.3511638923563339,-0.05068637247754926,21,0.38095238095238093,0.657341441577101,-12.785711189418938,-2.3997196844387405
0.03,0.08,5,0.55,NONE,False,9731.5000650222,-268.4999349778009,-0.026849993497780056,-0.00792515063727961,-0.3511638923563339,-0.05068637247754926,21,0.38095238095238093,0.657341441577101,-12.785711189418938,-2.3997196844387405
